epoch,step,test_accuracy,test_loss,train_loss,val_accuracy,val_loss
0,49,,,2.078721523284912,,
0,66,,,,0.31256601214408875,1.9934284687042236
1,99,,,1.8034257888793945,,
1,133,,,,0.3336853086948395,1.9502887725830078
2,149,,,1.7085877656936646,,
2,199,,,1.8523505926132202,,
2,200,,,,0.34002113342285156,1.9266895055770874
3,249,,,1.9234620332717896,,
3,267,,,,0.33896514773368835,1.9228286743164062
4,299,,,1.501682996749878,,
4,334,,,,0.3537486791610718,1.932158350944519
5,349,,,1.2949026823043823,,
5,399,,,1.5513179302215576,,
5,401,,,,0.34530094265937805,1.946777105331421
6,449,,,1.263232946395874,,
6,468,,,,0.33790919184684753,2.071411371231079
7,499,,,1.2232439517974854,,
7,535,,,,0.3294614553451538,2.223980665206909
8,549,,,0.7509062886238098,,
8,599,,,1.1621623039245605,,
8,602,,,,0.35058078169822693,2.3573334217071533
9,603,0.32356688380241394,2.498802661895752,,,
